Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Road,Road Width,Road Type,Posted,Amenities,Area (Sq. Meter),Build Area (Sq. Meter)
"5 Anna Land For Sale At Chapali Ghumti : Land For Sale In Chapali, Kathmandu","Chapali, Chapali, Kathmandu",Kathmandu,2400000,0,0,,0,East,,107,16 Feet / Blacktopped,16 Feet , Blacktopped,2 months ago,[],2543.6846,
"Pasikot Ghumti Land : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,2400000,0,0,,0,South East,,422,12 Feet / Gravelled,12 Feet , Gravelled,2 months ago,[],158.98029,
"Land On Sale In Chabahil, Kathmandu : Land For Sale In Anamnagar, Kathmandu","chabahil, maijubahal, maijumilan tole, Anamnagar, Kathmandu",Kathmandu,6000000,0,0,0.0,0,East,,351,13 Feet / Gravelled,13 Feet , Gravelled,2 months ago,[],1526.2108,
"Hepali Height 13 Ana : Land For Sale In Golfutar, Kathmandu","NA, Golfutar, Kathmandu",Kathmandu,2700000,0,0,,0,West,,368,13 Feet / Blacktopped,13 Feet , Blacktopped,2 months ago,[],413.34875,
"Tokha Plotting Land : Land For Sale In Tokha, Kathmandu","NA, Tokha, Kathmandu",Kathmandu,2300000,0,0,,0,East,,415,20 Feet / Blacktopped,20 Feet , Blacktopped,2 months ago,[],190.77635,
"Golfutar Height Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,37000000,5,5,3.0,1,South,2076.0,1.2K,20 Feet / Blacktopped,20 Feet , Blacktopped,2 months ago,"['Parking', 'Garage', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well', 'Water Tank']",127.184235,
"Sukedhara New Home : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,45000000,6,6,3.0,3,East,2076.0,198,20 Feet / Blacktopped,20 Feet , Blacktopped,2 months ago,"['Parking', 'Garage', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water']",190.77635,
"Land For Sale In Birgunj, Parsa","Shreepur-11 Birgunj Nepal, Birgunj, Parsa",Parsa,550000,0,0,,0,South,,164,6 Feet,6 Feet,,2 months ago,[],76.185,
"11 Ana House For Sale At Bagdol : House For Sale In Baghdol, Lalitpur","Enar Chowk, Baghdol, Lalitpur",Lalitpur,39000000,2,1,1.0,2,East,,362,0 Feet,0 Feet,,2 months ago,"['Fencing', 'Frontyard', 'Backyard', 'Garden', 'Drainage', 'Water Well', 'Parking', 'Water Tank', 'Lawn']",349.75662,
"House For Sale At Manamaiju : House For Sale In Manamaiju, Kathmandu","Kathmandu, Manmaiju, Manamaiju, Kathmandu",Kathmandu,17000000,5,3,3.0,1,East,,764,12 Feet / Paved,12 Feet , Paved,2 months ago,"['Balcony', 'Parking', 'Solar Water', 'Drainage', 'Water Supply']",119.235214,
"House For Rent At Maharajgunj : House For Rent In Maharajgunj, Kathmandu","maharajgunj, Maharajgunj, Kathmandu",Kathmandu,100000,5,4,,2,East,,289,0 Feet,0 Feet,,2 months ago,"['Modular Kitchen', 'Parking', 'Water Supply', 'Garden', 'Water Tank']",349.75662,
"House On Rent At Vinayak Colony : House For Rent In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,75000,3,3,,1,East,,644,0 Feet,0 Feet,,2 months ago,"['Parking', 'Balcony', 'Garden', 'Modular Kitchen', 'Security Staff']",174.87831,
"Residential : House For Sale In Goldhunga, Kathmandu","Nagarjun School, Goldhunga, Kathmandu",Kathmandu,16500000,6,3,2.5,1,South East,2076.0,5.7K,10 Feet / Gravelled,10 Feet , Gravelled,2 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']",1526.2108,
"Ramkot House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,20500000,4,4,2.5,1,East,2076.0,7.8K,13 Feet / Blacktopped,13 Feet , Blacktopped,2 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",1550.0579,213.67694
"Ghar Bikrima : House For Sale In Imadol, Lalitpur","Bojopokhari, Imadol, Lalitpur",Lalitpur,25000000,7,6,3.0,3,North East,2020.0,304,13 Feet / Blacktopped,13 Feet , Blacktopped,2 months ago,"['Backyard', 'Balcony', 'Frontyard', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']",151.03128,
"2 Storey House On Sale At Gathaghar : House For Sale In Gatthaghar, Bhaktapur","kausaltar, Gatthaghar, Bhaktapur",Bhaktapur,12500000,0,0,2.0,0,East,,1.9K,16 Feet,16 Feet,,2 months ago,['Parking'],95.388176,
"Ghar Bikrima : House For Sale In Imadol, Lalitpur","Imadol, Imadol, Lalitpur",Lalitpur,21000000,4,5,1.0,1,South West,2019.0,621,20 Feet / Gravelled,20 Feet , Gravelled,2 months ago,[],69951.33,127.184235
"Flat For Rent In Koteshwor, Kathmandu","koteshwor, Koteshwor, Kathmandu",Kathmandu,60000,0,4,3.0,1,East,2015.0,276,30 Meter / Blacktopped,30 Meter , Blacktopped,2 months ago,"['Parking', 'TV Cable']",38155.27,83.61272
"Land On Sale : Land For Sale In Changunarayan, Bhaktapur","Duwakot, Changunarayan, Bhaktapur",Bhaktapur,3500000,0,0,,0,East,,393,500 Meter,500 Meter,,2 months ago,[],6120.741,6120.741
"Land On Sale : Land For Sale In Suryabinayak, Bhaktapur","Siphadol, Suryabinayak, Bhaktapur",Bhaktapur,600000,0,0,,0,East,,747,300 Feet,300 Feet,,2 months ago,[],2543.6846,2543.6846
"Land On Sale : Land For Sale In Godawari, Lalitpur","Champi, Dukuchhap, Godawari, Lalitpur",Lalitpur,420000,0,0,,0,East,,305,500 Feet,500 Feet,,2 months ago,[],6768.5913,6768.5913
"House And Land On Sale : Land For Sale In Godawari, Lalitpur","Taukhel, Godawari, Lalitpur",Lalitpur,2000000,0,0,,0,East,,191,500 Meter,500 Meter,,2 months ago,[],5190.7065,5190.7065
"Furnished Flat Rent In Baghdol : Flat For Rent In Baghdol, Lalitpur","House rent in Bagdol, Baghdol, Lalitpur",Lalitpur,50000,2,1,,1,South West,,220,10 Feet,10 Feet,,2 months ago,"['Parking', 'Air Condition', 'Garage', 'Garden', 'Solar Water', 'Water Supply', 'Drainage']",3084.2175,
"House Rent In Lazimpat : House For Rent In Lazimpat, Kathmandu","gairidhara, Lazimpat, Kathmandu",Kathmandu,175000,0,0,2.0,6,South,,267,14 Feet,14 Feet,,2 months ago,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply']",31.796059,
"House For Rent In Mhepi, Kathmandu","Mhepi, Mhepi, Kathmandu",Kathmandu,160000,6,5,3.0,8,South,,167,20 Feet,20 Feet,,2 months ago,"['Parking', 'Balcony', 'Garden', 'Drainage', 'Water Supply', 'Water Tank']",31.796059,
"4 Aana Land : Land For Sale In Budhanilkantha, Kathmandu","Budhanilkantha Mandir, Budhanilkantha, Kathmandu",Kathmandu,2500000,0,0,,0,West,,1.4K,12 Feet / Gravelled,12 Feet , Gravelled,2 months ago,"['Drainage', 'Water Supply']",2034.9478,
"Land On Sale : Land For Sale In Teku, Kathmandu","Mayalbari, Teku, Kathmandu",Kathmandu,6000000,0,0,,0,East,,118,300 Meter,300 Meter,,2 months ago,[],588.22705,588.22705
"Akase Dhara House : House For Sale In Kapan, Kathmandu","akase dhara, Kapan, Kathmandu",Kathmandu,18000000,6,3,3.0,2,South,2070.0,639,13 Feet / Concrete,13 Feet , Concrete,2 months ago,"['Parking', 'Water Tank', 'Modular Kitchen', 'Fencing', 'Fencing', 'Water Well', 'Parking', 'Electricity Backup', 'Balcony', 'Water Well', 'Balcony', 'Water Tank', 'Modular Kitchen', 'Electricity Backup']",2058.7947,2034.9478
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur","Sainbu, Bhaisepati, Lalitpur",Lalitpur,35200000,4,4,,1,East,2020.0,209,20 Feet / Blacktopped,20 Feet , Blacktopped,2 months ago,"['Balcony', 'Fencing', 'TV Cable', 'Water Supply', 'Drainage', 'CCTV', 'Parking']",2559.5828,221.10918
"Flat : Flat For Rent In Swayambhu, Kathmandu","Kimdol, Swayambhu, Kathmandu",Kathmandu,35000,3,2,3.0,1,East,,542,0 Feet,0 Feet,,2 months ago,"['Parking', 'Balcony', 'Solar Water', 'Electricity Backup']",317.96057,254.36847
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur","Sainbu, Bhaisepati, Lalitpur",Lalitpur,37100000,4,4,,1,West,2020.0,380,20 Feet / Blacktopped,20 Feet , Blacktopped,2 months ago,"['Balcony', 'TV Cable', 'Water Supply', 'Drainage', 'Parking']",3052.4216,221.10918
"3-Storey House For Sale In Gairidhara : House For Sale In Gairidhara, Kathmandu","Gairidhara, Gairidhara, Kathmandu",Kathmandu,55000000,4,5,3.0,4,East,,786,14 Feet / Paved,14 Feet , Paved,2 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Parking', 'Store Room', 'Security Staff']",2543.6846,
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur","Sainbu, Bhaisepati, Lalitpur",Lalitpur,34500000,4,4,,1,West,2020.0,193,20 Feet / Blacktopped,20 Feet , Blacktopped,2 months ago,"['Balcony', 'Fencing', 'TV Cable', 'Water Supply', 'Drainage', 'CCTV', 'Parking']",2551.6335,221.10918
"Land For Sale At Gokarna : Land For Sale In Gokarneshwor, Kathmandu","Gokarna, Gokarneshwor, Kathmandu",Kathmandu,1650000,0,0,,0,West,,433,28 Feet,28 Feet,,2 months ago,[],699.51324,
"Budhanilkantha Furnished Bungalow : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,45000000,5,6,3.0,3,North East,2075.0,559,13 Feet / Paved,13 Feet , Paved,2 months ago,"['Garage', 'Balcony', 'Air Condition', 'Garden', 'Modular Kitchen', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Parking']",190.77635,
"Sanobharyang 3.1 Ana 1.3 Km : House For Sale In Sanobharyang, Kathmandu","Na, Sanobharyang, Kathmandu",Kathmandu,22500000,6,5,3.0,1,East,2076.0,274,14 Feet / Gravelled,14 Feet , Gravelled,2 months ago,"['Garage', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Water Supply']",98.56778,
"3 Flats On Rent : Flat For Rent In Imadol, Lalitpur","27.6564024, Imadol, Lalitpur",Lalitpur,30000,3,2,4.0,1,North East,2018.0,687,10 Feet / Blacktopped,10 Feet , Blacktopped,2 months ago,"['Fencing', 'Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']",254.36847,190.77635
"Hetauda Children Park Najik Pragati Path Ma Ghar Jagga Bikrima : House For Sale In Hetauda, Makwanpur","pragati path hetauda-5, Hetauda, Makwanpur",Makwanpur,700000,4,2,1.0,1,North,,183,4 Meter / Paved,4 Meter , Paved,2 months ago,"['Parking', 'Water Supply', 'Garden']",372.46,169.3
"Flat For Rent In Jhamsikhel, Lalitpur","jhamsikhel(near British school), Jhamsikhel, Lalitpur",Lalitpur,35000,2,2,0.0,2,East,2074.0,890,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,2 months ago,"['Parking', 'Water Supply', 'Solar Water']",0.5574181,0.37161207
"Flat For Rent In Jhamsikhel, Lalitpur","jhamsikhel(near British school), Jhamsikhel, Lalitpur",Lalitpur,35000,2,2,0.0,2,East,2074.0,158,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,2 months ago,"['Water Supply', 'Solar Water', 'Parking']",0.5574181,0.37161207
"Land Sale In Lele : Land For Sale In Lele, Lalitpur","lele, Lele, Lalitpur",Lalitpur,700000,0,0,,0,East,,240,0 Feet / Paved,0 Feet , Paved,2 months ago,[],2046.8767,
"Sanobharyang Home : House For Sale In Swayambhu, Kathmandu","na, Swayambhu, Kathmandu",Kathmandu,23500000,6,5,3.0,1,East,2076.0,200,13 Feet / Paved,13 Feet , Paved,2 months ago,['Garage'],95.388176,
"Golfutar Bungalow For Sale : House For Sale In Golfutar, Kathmandu","NA, Golfutar, Kathmandu",Kathmandu,102500000,6,6,3.0,4,East,2076.0,155,13 Feet / Blacktopped,13 Feet , Blacktopped,2 months ago,"['Garage', 'Lawn', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Kids Playground', 'Security Staff', 'Store Room']",604.1251,
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur","Sainbu, Bhaisepati, Lalitpur",Lalitpur,28200000,4,4,2.0,1,North East,2020.0,3.1K,40 Feet / Blacktopped,40 Feet , Blacktopped,2 months ago,"['Garage', 'Balcony', 'Fencing', 'TV Cable', 'Drainage', 'Water Tank', 'CCTV', 'Parking']",65722.45,2042.8967
"Newroad Office Space On Rent : Office Space For Rent In Newroad, Kathmandu","Newroad , Tebahal, Newroad, Kathmandu",Kathmandu,40000,0,1,7.0,0,West,2002.0,111,14 Feet / Blacktopped,14 Feet , Blacktopped,2 months ago,"['Water Supply', 'CCTV', 'Internet', 'Store Room']",57.599873,49.238598
"House For Sale In Kadaghari, Kathmandu","Birendrachowk , kadaghari, Kadaghari, Kathmandu",Kathmandu,13000000,2,1,1.0,2,East,2014.0,256,10 Feet / Gravelled,10 Feet , Gravelled,2 months ago,"['Drainage', 'Water Supply', 'Parking']",1112.862,
"Budhanilkantha 4 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,32500000,5,5,3.0,1,East,2076.0,126,13 Feet / Blacktopped,13 Feet , Blacktopped,2 months ago,['Garage'],127.184235,
"House For Sale In Satungal, Kathmandu","Nearby APF Hospital, Satungal, Kathmandu",Kathmandu,26000000,11,9,3.0,1,North,2074.0,7.6K,13 Feet / Blacktopped,13 Feet , Blacktopped,2 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",2543.6846,297.28964
"Chapali Cheap Home : House For Sale In Chapali, Kathmandu","Na, Chapali, Kathmandu",Kathmandu,24000000,7,8,4.0,1,South East,2065.0,205,13 Feet / Gravelled,13 Feet , Gravelled,2 months ago,['Parking'],158.98029,
"House For Sale In Dhapakhel, Lalitpur","Nearby Sumeru Hospital, Dhapakhel, Lalitpur",Lalitpur,17700000,3,4,2.5,1,West,,4.2K,12 Feet / Blacktopped,12 Feet , Blacktopped,2 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",1033.3718,
"12.5 Anna Jagga On Sale At Lolang Height, Hariyali Samaaj : House For Sale In Balaju, Kathmandu","Lolang Height, Hariyali Samaaj, Balaju, Kathmandu",Kathmandu,2200000,1,1,1.0,2,East,2016.0,699,10 Feet / Gravelled,10 Feet , Gravelled,2 months ago,"['Garden', 'Water Supply', 'Parking']",397.4507,127.184235
"Pasikot Cheap Home 168 Only : House For Sale In Pasikot, Kathmandu","Man, Pasikot, Kathmandu",Kathmandu,16800000,5,5,3.0,1,North East,2074.0,870,14 Feet / Gravelled,14 Feet , Gravelled,2 months ago,['Parking'],95.388176,
"Budhanilkantha 5.5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,34000000,6,6,3.0,2,North East,2076.0,280,30 Feet / Blacktopped,30 Feet , Blacktopped,2 months ago,"['Garage', 'Parking']",174.87831,
"Beautiful Small Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,5,5,3.0,1,South East,2076.0,384,14 Feet / Gravelled,14 Feet , Gravelled,2 months ago,['Parking'],95.388176,
"Bhudhanilkantha House On Rent : House For Rent In Budhanilkantha, Kathmandu","Bhudha colony, Budhanilkantha, Kathmandu",Kathmandu,200000,5,4,3.0,2,East,2014.0,619,14 Feet / Blacktopped,14 Feet , Blacktopped,2 months ago,"['Garage', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Water Supply', 'Parking', 'CCTV', 'Solar Water', 'Water Tank', 'Wifi', 'Store Room']",90618.766,7138.215
"Flat/Room Rent At Balaju ( Storage, Godaun/ Office Space) : Office Space For Rent In Balaju, Kathmandu","Main road, Balaju, Kathmandu",Kathmandu,25000,3,1,1.0,4,East,,697,20 Feet,20 Feet,,2 months ago,"['Balcony', 'Water Supply', 'Water Well', 'Solar Water', 'Parking', 'Store Room', 'Water Tank']",51.09666,51.09666
"Flat For Rent At Dhunge Dhara Banasthali : Flat For Rent In Dhungedhara, Kathmandu","Dhunge Dhara, Banasthali, Dhungedhara, Kathmandu",Kathmandu,17000,2,1,4.0,0,South,2007.0,266,14 Feet / Gravelled,14 Feet , Gravelled,2 months ago,"['Backyard', 'Balcony', 'Internet', 'Electricity Backup', 'Water Supply', 'Water Tank', 'Garden', 'Parking', 'Wifi', 'Water Well']",667.7172,
"Chapali Bungalow 13 Ana : House For Sale In Chapali, Kathmandu","Na, Chapali, Kathmandu",Kathmandu,42500000,5,6,3.0,4,South East,2071.0,204,14 Feet / Gravelled,14 Feet , Gravelled,2 months ago,"['Garage', 'Backyard', 'Balcony', 'Frontyard', 'Garden', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Store Room']",381.5527,
"Maharajganj 5 Ropani Bungalow : House For Rent In Maharajgunj, Kathmandu","Na, Maharajgunj, Kathmandu",Kathmandu,790000,6,7,3.0,10,East,2065.0,454,24 Feet / Blacktopped,24 Feet , Blacktopped,2 months ago,"['Garage', 'Backyard', 'Lawn', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Drainage', 'Solar Water', 'Water Supply', 'Water Well', 'Water Tank', 'Security Staff', 'Store Room']",2543.6846,
"Beautiful : House For Sale In Baluwatar, Kathmandu","Chandol, Baluwatar, Kathmandu",Kathmandu,41000000,7,3,2.5,1,North,2066.0,4.5K,10 Feet / Blacktopped,10 Feet , Blacktopped,2 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",2543.6846,
"Land For Sale In Kapan, Kathmandu","Chunikhel, alubari, Kapan, Kathmandu",Kathmandu,1300000,0,0,,0,East,,716,0 Feet,0 Feet,,2 months ago,[],228.93161,
"House On Rent Or Sale At Matatirtha : House For Sale In Matatirtha, Kathmandu","Matatirtha near bus stop, Matatirtha, Kathmandu",Kathmandu,15000000,3,3,,2,West,,879,4 Feet,4 Feet,,2 months ago,['Garden'],260.72766,
"House For Sale In Bhaisepati, Lalitpur","Bhaisepati,sainbu,pragatinagar, Bhaisepati, Lalitpur",Lalitpur,37500000,8,6,4.0,1,North West,2007.0,689,12 Feet / Blacktopped,12 Feet , Blacktopped,2 months ago,"['Balcony', 'Garage', 'Backyard', 'Garden', 'Lawn', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Wifi', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Internet', 'Store Room']",3569.1074,1526.2108
"House For Sale In Tinthana, Kathmandu","Bishnu Devi Village Colony, Tinthana, Kathmandu",Kathmandu,16000000,5,3,2.5,1,East,2076.0,7.1K,13 Feet / Blacktopped,13 Feet , Blacktopped,2 months ago,"['Balcony', 'Fencing', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",1526.2108,185.80603
"Flat For Rent At Jawalakhel : Apartment For Rent In Jawalakhel, Lalitpur","jawalakhel, Jawalakhel, Lalitpur",Lalitpur,55000,2,1,,0,East,,276,0 Feet,0 Feet,,2 months ago,[],158.98029,
"Flat On Rent At Man Bhawan : House For Rent In Jawalakhel, Lalitpur","manbhawan, Jawalakhel, Lalitpur",Lalitpur,75000,4,3,,2,East,,185,0 Feet,0 Feet,,2 months ago,[],1017.4739,
"House For Rent At Naxal : House For Rent In Naxal, Kathmandu","naxal, Naxal, Kathmandu",Kathmandu,500000,22,4,,3,East,,175,0 Feet,0 Feet,,3 months ago,[],317.96057,
"Land For Sale : Land For Sale In Hetauda, Makwanpur","Sunwood Colony Hetauda, Hetauda, Makwanpur",Makwanpur,500000,0,0,,0,South,,175,6 Meter / Paved,6 Meter , Paved,3 months ago,[],169.3,
"Urgent House Sale : House For Sale In Kapan, Kathmandu","Kapan, Kapan, Kathmandu",Kathmandu,15000000,4,4,3.0,2,West,2014.0,789,0 Feet,0 Feet,,3 months ago,['Garage'],101.74738,
"Flat System : House For Sale In Tikathali, Lalitpur","Imadol, Tikathali, Lalitpur",Lalitpur,21500000,6,4,2.5,3,West,2076.0,17.4K,20 Feet / Concrete,20 Feet , Concrete,3 months ago,"['Balcony', 'Fencing', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",2034.9478,
"Land For Sale In Butwal, Butwal","Madan path, Butwal, Butwal",Butwal,450000,0,0,,0,North East,,162,0 Feet,0 Feet,,3 months ago,[],100.33528,
"Affordable Home At Jorpati : House For Sale In Jorpati, Kathmandu","Beshigaun, Jorpati, Jorpati, Kathmandu",Kathmandu,23500000,0,0,3.0,0,North East,2050.0,573,0 Feet / Alley,0 Feet , Alley,3 months ago,[],95.388176,
"Ravishing : House For Sale In Baluwatar, Kathmandu","opposite of Nepal Rastra Bank, Baluwatar, Kathmandu",Kathmandu,60000000,5,5,2.5,1,South,,4K,13 Feet / Blacktopped,13 Feet , Blacktopped,3 months ago,"['Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Intercom', 'Internet', 'Parking', 'Store Room']",3052.4216,
"Commercial : Land For Sale In Gaurighat, Kathmandu","Dibya party palace, Gaurighat, Kathmandu",Kathmandu,4200000,0,0,,1,North,,1.7K,13 Feet / Blacktopped,13 Feet , Blacktopped,3 months ago,"['Drainage', 'Water Well', 'Parking']",3076.2686,
"Commercial : Land For Sale In Gaurighat, Kathmandu","Nearby Dibya Complex, Gaurighat, Kathmandu",Kathmandu,4200000,0,0,,1,South,,1.1K,13 Feet / Gravelled,13 Feet , Gravelled,3 months ago,"['Drainage', 'Water Supply', 'Parking']",4578.6323,
"Commercial : Land For Sale In Gaurighat, Kathmandu","nearby Bagmati Road, Gaurighat, Kathmandu",Kathmandu,4500000,0,0,,0,South,,1.1K,20 Feet / Blacktopped,20 Feet , Blacktopped,3 months ago,"['Drainage', 'Water Well', 'Parking']",2557.6038,
"Commercial : Land For Sale In Gaurighat, Kathmandu","Nearby Dibya Complex, Gaurighat, Kathmandu",Kathmandu,4200000,0,0,,0,South,,1.2K,13 Feet / Blacktopped,13 Feet , Blacktopped,3 months ago,['Parking'],4578.6323,
"Commercial : Land For Sale In Gaurighat, Kathmandu","Bagmati road, Gaurighat, Kathmandu",Kathmandu,6000000,0,0,,1,North,,1.9K,26 Feet / Blacktopped,26 Feet , Blacktopped,3 months ago,['Parking'],1544.0988,
"Commercial : Land For Sale In Gaurighat, Kathmandu","Nearby Hilary School., Gaurighat, Kathmandu",Kathmandu,8000000,0,0,,0,East,,1.4K,11 Meter / Blacktopped,11 Meter , Blacktopped,3 months ago,"['Drainage', 'Water Supply', 'Parking', 'Security Staff']",31.796059,
"Boutique On Sale : Business For Sale In Kumaripati, Lalitpur","Kumaripati, Kumaripati, Lalitpur",Lalitpur,2300000,1,0,,0,South,,476,20 Meter / Blacktopped,20 Meter , Blacktopped,3 months ago,"['Balcony', 'Water Tank']",60.386963,32.516056
"Commercial : Land For Sale In Gaurighat, Kathmandu","Nearby Guheshwori Planning, Gaurighat, Kathmandu",Kathmandu,4200000,0,0,,0,West,,1.3K,20 Feet / Blacktopped,20 Feet , Blacktopped,3 months ago,"['Drainage', 'Water Well', 'Parking']",13227.16,
"Land Sale : Land For Sale In Birtamod Road, Itahari","Tarahara bhuwanipur, Birtamod Road, Itahari",Itahari,130000,0,0,,0,East,,499,20 Feet / Gravelled,20 Feet , Gravelled,3 months ago,[],211.625,
"Uniform Showroom And Factory : Business For Sale In Samakhusi, Kathmandu","townplanning, Samakhusi, Kathmandu",Kathmandu,750000,0,0,,0,East,,124,0 Feet,0 Feet,,3 months ago,[],127.184235,
"Karyabinayak Colony House For Sale : House For Sale In Bhaisepati, Lalitpur","bhaisepati, Bhaisepati, Lalitpur",Lalitpur,30000000,4,4,,1,East,,236,0 Feet,0 Feet,,3 months ago,"['Modular Kitchen', 'Swimming Pool', 'Solar Water', 'TV Cable', 'Garden', 'Balcony']",95.388176,
"Pasikot 21 Ana Home : House For Sale In Pasikot, Kathmandu","Na, Pasikot, Kathmandu",Kathmandu,81000000,6,6,3.0,6,East,2072.0,167,15 Feet / Gravelled,15 Feet , Gravelled,3 months ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Store Room', 'Kids Playground', 'Maintenance', 'Parking', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank']",667.7172,
"Pasikot 12 Ana Home : House For Sale In Pasikot, Kathmandu","Na, Pasikot, Kathmandu",Kathmandu,55000000,5,5,2.0,6,North,2069.0,179,22 Feet / Blacktopped,22 Feet , Blacktopped,3 months ago,"['Garage', 'Lawn', 'Backyard', 'Fencing', 'Garden', 'Frontyard', 'Water Well', 'Water Tank', 'Solar Water', 'Drainage']",381.5527,
"House For Sale In Thankot, Kathmandu","Thankot, Thankot, Kathmandu",Kathmandu,13000000,6,2,3.0,1,West,2001.0,178,23 Feet / Blacktopped,23 Feet , Blacktopped,3 months ago,"['Electricity Backup', 'Water Supply', 'Water Tank', 'Water Well', 'Balcony']",1526.2108,1033.3718
"BEAUTIFUL HOUSE FOR RENT IN RESIDENTIAL AREA! : House For Rent In Kupondole, Lalitpur","KUPONDOLE HEIGHTS ROAD, Kupondole, Lalitpur",Lalitpur,273258,4,0,4.0,1,East,2010.0,894,10 Feet / Paved,10 Feet , Paved,3 months ago,"['Garage', 'Air Condition', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Microwave', 'Modular Kitchen', 'Water Tank', 'Parking', 'Solar Water', 'Water Supply']",731.3093,
"House On Rent At Bafal : House For Sale In Bafal, Kathmandu","Bafal, Bafal, Kathmandu",Kathmandu,30000000,4,3,,1,East,,509,0 Feet,0 Feet,,3 months ago,[],95.388176,
"New House On Rent : Business For Rent In Soltimode, Kathmandu","Red Cross Marg, Soltimode, Soltimode, Kathmandu",Kathmandu,225000,0,3,2.0,2,West,2020.0,157,16 Feet / Blacktopped,16 Feet , Blacktopped,3 months ago,"['Balcony', 'Backyard', 'Frontyard', 'Modular Kitchen', 'Drainage', 'Water Supply']",222.5724,195.09634
"Land On Rent At Radhe Rahde : Land For Rent In Radhe Radhe, Bhaktapur","Radhe radhe, Radhe Radhe, Bhaktapur",Bhaktapur,375000,0,0,,0,East,,106,0 Feet,0 Feet,,3 months ago,[],1984.074,
